gs_name	gene_hits	n	p.value	odds	padj
GO_MRNA_METABOLIC_PROCESS	A1CF,ACIN1,AGO2,AKAP17A,AKAP8L,ANP32A,APP,ARL6IP4,ATF4,AURKAIP1,CACTIN,CASC3,CCAR1,CCAR2,CCNB1,CD2BP2,CDC5L,CDC73,CDK11A,CDK11B,CDK12,CDK13,CELF1,CHERP,CHTOP,CIRBP,CLASRP,CNOT1,CNOT3,CPSF1,CPSF6,CPSF7,CRNKL1,CWC25,DAZAP1,DDX1,DDX17,DDX23,DDX39A,DDX39B,DDX41,DDX46,DDX5,DHX15,DHX34,DHX38,DYRK1A,E2F1,EDC4,EIF3E,EIF4G1,ERCC2,ETF1,EXOSC10,FAM172A,FIP1L1,FUS,FXR1,GIGYF2,GSPT1,GTPBP1,GTPBP2,HIF1A,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH3,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,HSF1,HSPA1A,HSPA1B,IGF2BP1,IGF2BP2,IWS1,KDM1A,KHSRP,LARP1,LUC7L,LUC7L2,LUC7L3,MOV10,MTOR,NCL,NELFE,NONO,NPM1,NUP214,PABPC1,PABPC1L,PABPC4,PABPN1,PAF1,PATL1,PCBP2,PCF11,PCIF1,PDCD11,PHRF1,PNN,POLDIP3,POLR2A,POLR2E,POLR2H,POLR2J,PPP2CA,PRCC,PRKRIP1,PRPF19,PRPF31,PRPF40A,PRPF4B,PRPF6,PRPF8,PSMA7,PSMC2,PSMD1,PSMD11,PSMD2,PTBP1,PTBP3,PUM1,PUS1,QKI,RALY,RBBP6,RBFOX2,RBM10,RBM15,RBM17,RBM19,RBM25,RBM26,RBM27,RBM3,RBM39,RBM4,RBM4B,RBM5,RC3H1,RNF40,ROCK1,ROCK2,RPL10A,RPL13A,RPL14,RPL15,RPL19,RPL23A,RPL28,RPL3,RPL35,RPL37,RPL37A,RPL4,RPL5,RPL7A,RPL8,RPLP1,RPLP2,RPS11,RPS15,RPS16,RPS24,RPS6,RPS9,SAFB,SAFB2,SART1,SART3,SCAF1,SCAF11,SCAF8,SECISBP2,SERBP1,SET,SF1,SF3A2,SF3B1,SF3B2,SF3B3,SFPQ,SFSWAP,SKIV2L,SLBP,SLTM,SMG1,SMG5,SMG7,SNRNP200,SNRNP25,SNRNP70,SNRPA,SON,SREBF1,SRPK2,SRRM1,SRRM2,SRRT,SRSF1,SRSF10,SRSF11,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,SSU72,SUGP1,SUGP2,SUPT5H,SUPT6H,SYMPK,THOC5,THRAP3,TIA1,TRA2B,TRIM71,TRMT6,TXNL4A,TXNL4B,U2AF2,UBA52,UBB,UBC,UPF1,UPF3A,VIRMA,WBP11,WDR33,XRN2,YBX1,YTHDC1,ZBTB7A,ZC3H11A,ZC3H13,ZFP36L1,ZRANB2	821	1.71479912837475e-39	3.12918611098908	6.62598383204005e-36
GO_MRNA_PROCESSING	A1CF,ACIN1,AKAP17A,AKAP8L,APP,ARL6IP4,AURKAIP1,CACTIN,CASC3,CCAR1,CCAR2,CCNB1,CD2BP2,CDC5L,CDC73,CDK11A,CDK11B,CDK12,CDK13,CELF1,CHERP,CHTOP,CIRBP,CLASRP,CPSF1,CPSF6,CPSF7,CRNKL1,CWC25,DAZAP1,DDX1,DDX17,DDX23,DDX39A,DDX39B,DDX41,DDX46,DDX5,DHX15,DHX38,DYRK1A,ERCC2,FAM172A,FIP1L1,FUS,FXR1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH3,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,HSF1,IWS1,KDM1A,KHSRP,LUC7L,LUC7L2,LUC7L3,NCL,NELFE,NONO,NPM1,PABPC1,PABPC1L,PABPN1,PAF1,PCBP2,PCF11,PDCD11,PHRF1,PNN,POLDIP3,POLR2A,POLR2E,POLR2H,POLR2J,PRCC,PRKRIP1,PRPF19,PRPF31,PRPF40A,PRPF4B,PRPF6,PRPF8,PTBP1,PTBP3,QKI,RALY,RBBP6,RBFOX2,RBM10,RBM15,RBM17,RBM19,RBM25,RBM26,RBM27,RBM3,RBM39,RBM4,RBM4B,RBM5,RNF40,SAFB,SAFB2,SART1,SART3,SCAF1,SCAF11,SCAF8,SF1,SF3A2,SF3B1,SF3B2,SF3B3,SFPQ,SFSWAP,SLBP,SLTM,SNRNP200,SNRNP25,SNRNP70,SNRPA,SON,SRPK2,SRRM1,SRRM2,SRRT,SRSF1,SRSF10,SRSF11,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,SSU72,SUGP1,SUGP2,SUPT5H,SUPT6H,SYMPK,THOC5,THRAP3,TIA1,TRA2B,TXNL4A,TXNL4B,U2AF2,VIRMA,WBP11,WDR33,XRN2,YBX1,YTHDC1,ZBTB7A,ZC3H11A,ZC3H13,ZFP36L1,ZRANB2	490	4.89088228626447e-35	3.73767024672596	1.88934782718397e-31
GO_RNA_PROCESSING	A1CF,ACIN1,AGO2,AHNAK,AKAP17A,AKAP8L,APP,ARL6IP4,AURKAIP1,BMS1,BOP1,CACTIN,CASC3,CCAR1,CCAR2,CCNB1,CCNL1,CD2BP2,CDC5L,CDC73,CDK11A,CDK11B,CDK12,CDK13,CDK5RAP1,CELF1,CHD7,CHERP,CHTOP,CIRBP,CLASRP,CLK2,CLK3,CPSF1,CPSF6,CPSF7,CRNKL1,CWC25,DAZAP1,DDX1,DDX17,DDX21,DDX23,DDX27,DDX39A,DDX39B,DDX41,DDX46,DDX49,DDX5,DDX54,DGCR8,DHX15,DHX37,DHX38,DUS1L,DUS3L,DYRK1A,EGFR,ERCC2,EXOSC10,FAM172A,FASTK,FIP1L1,FUS,FXR1,GTPBP3,GTPBP4,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH3,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,HSF1,HSPA1A,INTS1,INTS11,INTS3,INTS4,IWS1,KDM1A,KHSRP,KRI1,LUC7L,LUC7L2,LUC7L3,MAP2K2,MDN1,MYCN,NCL,NCOR1,NCOR2,NELFE,NONO,NOP14,NOP2,NOP53,NOP56,NPM1,NSA2,NVL,PA2G4,PABPC1,PABPC1L,PABPC4,PABPN1,PAF1,PCBP2,PCF11,PDCD11,PELP1,PHRF1,PIH1D1,PNN,POLDIP3,POLR2A,POLR2E,POLR2H,POLR2J,PPP1R9B,PPP2CA,PRCC,PRKRIP1,PRPF19,PRPF31,PRPF40A,PRPF4B,PRPF6,PRPF8,PTBP1,PTBP3,PUM1,PUS1,QKI,QTRT1,RALY,RBBP6,RBFOX2,RBM10,RBM15,RBM17,RBM19,RBM25,RBM26,RBM27,RBM3,RBM39,RBM4,RBM4B,RBM5,RBM6,REXO4,RIOK3,RNF40,RPF2,RPL10A,RPL14,RPL35,RPL5,RPL7A,RPS15,RPS16,RPS24,RPS6,RPS9,RRP1,SAFB,SAFB2,SART1,SART3,SCAF1,SCAF11,SCAF8,SF1,SF3A2,SF3B1,SF3B2,SF3B3,SFPQ,SFSWAP,SLBP,SLTM,SMAD2,SMAD3,SNRNP200,SNRNP25,SNRNP70,SNRPA,SON,SRPK2,SRRM1,SRRM2,SRRT,SRSF1,SRSF10,SRSF11,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,SSU72,SUGP1,SUGP2,SUPT5H,SUPT6H,SYMPK,TGFB1,THOC5,THRAP3,TIA1,TRA2B,TRIM71,TRMT1,TRMT2A,TRMT44,TRMT6,TRNT1,TXNL4A,TXNL4B,U2AF2,UTP18,UTP4,VIRMA,WBP11,WDR33,WDR4,WDR46,WDR55,WDR74,XRN2,YBX1,YTHDC1,ZBTB7A,ZC3H11A,ZC3H13,ZC3H7B,ZFC3H1,ZFP36L1,ZRANB2	889	1.09044071572839e-34	2.83765424385705	4.21128204414304e-31
GO_CHROMOSOME_ORGANIZATION	ACIN1,ACTB,AEBP2,AKAP8L,ANAPC1,ANP32B,ARID1A,ARID4A,ARID4B,ASH1L,ASXL1,ATAD2,ATF7IP,ATRX,ATXN7,AURKB,BABAM1,BAG6,BANP,BAZ1A,BAZ1B,BAZ2A,BAZ2B,BPTF,BRD1,BRD2,BRD3,BRD4,BRD8,BRD9,BRMS1,BRPF1,BUB1B,BUB3,CABIN1,CAMK2D,CBX3,CBX4,CCNB1,CCT3,CCT6A,CDC20,CDC45,CDC6,CDC73,CDK5RAP2,CDT1,CECR2,CENPF,CENPT,CHAF1A,CHD1,CHD2,CHD3,CHD4,CHD6,CHD7,CHD8,CHMP1A,CHMP4B,CHTF18,CHTOP,COPS5,CREBBP,CTBP1,CTNNB1,CUL4A,DAPK3,DDB1,DDX1,DDX11,DEK,DNAJC2,DNMT1,DNMT3A,DOT1L,DUSP1,EHMT1,EHMT2,EP300,EP400,ERCC2,ESPL1,EXOSC10,FAM172A,FLCN,FOXA2,GNL3L,GRWD1,HCFC1,HDAC1,HDAC10,HDAC4,HDAC5,HDAC6,HELLS,HFM1,HIRA,HJURP,HMG20B,HMGB2,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPU,HP1BP3,HSP90AA1,HSP90AB1,HUWE1,IGF2,IGHMBP2,INCENP,INO80,IPO4,IWS1,KAT2A,KAT6A,KAT7,KDM1A,KDM2A,KDM4B,KDM5A,KDM5B,KDM5C,KDM6B,KIF18B,KIF22,KIFC1,KMT2A,KMT2B,KMT2C,KMT2D,KMT2E,KMT5B,KPNB1,MAD1L1,MAU2,MBD1,MBD3,MCM2,MCM3,MCM3AP,MCM4,MCM5,MCM7,MCM8,MKI67,MLLT6,MORC2,MORF4L2,MPHOSPH8,MTA1,MTHFR,NAA60,NAP1L1,NCAPG2,NCAPH2,NCOA3,NCOR1,NELFE,NIPBL,NOC2L,NPM1,NSD1,NSD2,NTMT1,NUCKS1,NUMA1,OTUB1,PABPC1L,PAF1,PAGR1,PARP1,PAXBP1,PCGF3,PDS5A,PER1,PER2,PHB2,PHF20,PHF23,PIH1D1,POLD1,POLE,POLQ,PPP1R10,PRC1,PRDM16,PRKDC,PRMT1,PTGES3,PTMA,RAD23B,RAD54L,RBM14,RCCD1,RECQL4,RERE,RFC1,RIF1,RNF168,RNF4,RNF40,RSF1,RTEL1,RTF1,RUVBL1,SAFB,SART3,SET,SETD1A,SETD1B,SETD2,SETD5,SFPQ,SIN3A,SIN3B,SKI,SMARCA1,SMARCA4,SMARCA5,SMARCC1,SMARCC2,SMC1A,SMC4,SMC5,SMG1,SMG5,SMG7,SOX9,SRCAP,SREBF1,STAG1,SUDS3,SUN1,SUPT16H,SUPT6H,SUZ12,TACC3,TADA3,TAF6,TELO2,TEN1,TET3,TLK1,TOP1,TOP2B,TOP3B,TPR,TRIM28,TRIP12,TRRAP,TSPYL1,TSPYL2,UBA52,UBB,UBC,UBN1,UBR5,UHRF1,UPF1,USP15,USP22,USP7,VEGFA,VPS4A,WAC,WDR5,WDR82,WRN,XRCC6,YEATS2,YY1,ZBTB7A,ZMIZ1,ZMIZ2,ZNF207,ZNF335,ZWINT	1109	4.47850558285116e-31	2.48847192838713	1.72915100553883e-27
GO_RNA_SPLICING	ACIN1,AHNAK,AKAP17A,AKAP8L,ARL6IP4,CACTIN,CASC3,CCAR1,CCAR2,CD2BP2,CDC5L,CDK12,CDK13,CELF1,CHERP,CIRBP,CLASRP,CLK2,CLK3,CPSF1,CPSF7,CRNKL1,CWC25,DAZAP1,DDX1,DDX17,DDX23,DDX39A,DDX39B,DDX41,DDX46,DDX5,DHX15,DHX38,DYRK1A,FAM172A,FASTK,FIP1L1,FUS,FXR1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH3,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,HSPA1A,IWS1,KDM1A,KHSRP,LUC7L,LUC7L2,LUC7L3,NCL,NONO,NPM1,PABPC1,PABPN1,PCBP2,PCF11,PNN,POLR2A,POLR2E,POLR2H,POLR2J,PPP1R9B,PPP2CA,PRCC,PRKRIP1,PRPF19,PRPF31,PRPF40A,PRPF4B,PRPF6,PRPF8,PTBP1,PTBP3,QKI,RALY,RBFOX2,RBM10,RBM15,RBM17,RBM19,RBM25,RBM3,RBM39,RBM4,RBM4B,RBM5,SART1,SART3,SCAF1,SCAF11,SF1,SF3A2,SF3B1,SF3B2,SF3B3,SFPQ,SFSWAP,SNRNP200,SNRNP25,SNRNP70,SNRPA,SON,SRPK2,SRRM1,SRRM2,SRRT,SRSF1,SRSF10,SRSF11,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,SUGP1,SUGP2,SUPT6H,SYMPK,THOC5,THRAP3,TIA1,TRA2B,TXNL4A,TXNL4B,U2AF2,VIRMA,WBP11,WDR33,YBX1,YTHDC1,ZBTB7A,ZC3H13,ZRANB2	427	3.62605806245165e-29	3.60409109381691	1.39965841210634e-25
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	ABCA1,ADGRG6,ADORA2A,AGRN,AKAP13,APLP2,APOA1,APOE,APP,ARHGEF11,ARHGEF17,ARHGEF7,ATF4,BCAR1,C3,CELSR3,DAGLA,DAGLB,DGKQ,DNM2,EZR,F2,FFAR4,FZD5,GNA12,GNAS,GRK2,GRK6,IGF2R,IQGAP2,ITSN1,LGR4,LRP1,METAP2,NGEF,NMT1,OGFR,PARD3,PDE3A,PDE3B,PLCB1,PLXNB1,PPP1R9B,ROCK1,ROCK2,SORCS2,TAS2R14,TRIO,UTS2B,VAV2,XPR1	1282	4.19535420503719e-29	0.262731119002351	1.61898718772385e-25
GO_CHROMATIN_ORGANIZATION	ACTB,AEBP2,AKAP8L,ANP32B,ARID1A,ARID4A,ARID4B,ASH1L,ASXL1,ATAD2,ATF7IP,ATRX,ATXN7,AURKB,BABAM1,BAG6,BANP,BAZ1A,BAZ1B,BAZ2A,BAZ2B,BPTF,BRD1,BRD2,BRD3,BRD4,BRD8,BRD9,BRMS1,BRPF1,CABIN1,CAMK2D,CBX3,CBX4,CCNB1,CDC45,CDC73,CECR2,CENPT,CHAF1A,CHD1,CHD2,CHD3,CHD4,CHD6,CHD7,CHD8,CHTOP,CREBBP,CTBP1,CTNNB1,DAPK3,DDB1,DDX11,DEK,DNAJC2,DNMT1,DNMT3A,DOT1L,EHMT1,EHMT2,EP300,EP400,FAM172A,FLCN,FOXA2,GRWD1,HCFC1,HDAC1,HDAC10,HDAC4,HDAC5,HDAC6,HELLS,HIRA,HJURP,HMG20B,HMGB2,HNRNPC,HNRNPU,HP1BP3,HUWE1,IGF2,INO80,IPO4,IWS1,KAT2A,KAT6A,KAT7,KDM1A,KDM2A,KDM4B,KDM5A,KDM5B,KDM5C,KDM6B,KMT2A,KMT2B,KMT2C,KMT2D,KMT2E,KMT5B,MBD1,MBD3,MCM2,MCM3AP,MKI67,MLLT6,MORC2,MORF4L2,MPHOSPH8,MTA1,MTHFR,NAA60,NAP1L1,NCOA3,NCOR1,NELFE,NIPBL,NOC2L,NPM1,NSD1,NSD2,NTMT1,NUCKS1,OTUB1,PABPC1L,PAF1,PAGR1,PAXBP1,PCGF3,PER1,PER2,PHF20,PIH1D1,PRDM16,PRMT1,PTMA,RBM14,RCCD1,RERE,RIF1,RNF168,RNF40,RSF1,RTF1,RUVBL1,SAFB,SART3,SET,SETD1A,SETD1B,SETD2,SETD5,SFPQ,SIN3A,SIN3B,SKI,SMARCA1,SMARCA4,SMARCA5,SMARCC1,SMARCC2,SOX9,SRCAP,SREBF1,SUDS3,SUPT16H,SUPT6H,SUZ12,TADA3,TAF6,TET3,TLK1,TOP1,TPR,TRIM28,TRIP12,TRRAP,TSPYL1,TSPYL2,UBN1,UBR5,UHRF1,USP15,USP22,USP7,VEGFA,WAC,WDR5,WDR82,YEATS2,ZBTB7A,ZMIZ1,ZMIZ2,ZNF335	694	1.69473249603859e-28	2.8526652119969	6.53827796971687e-25
GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	CACTIN,CASC3,CCAR1,CD2BP2,CDC5L,CDK13,CELF1,CHERP,CIRBP,CPSF1,CPSF7,CRNKL1,CWC25,DAZAP1,DDX1,DDX17,DDX23,DDX39A,DDX39B,DDX41,DDX46,DDX5,DHX15,DHX38,DYRK1A,FAM172A,FIP1L1,FUS,FXR1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH3,HNRNPK,HNRNPL,HNRNPM,HNRNPR,HNRNPU,HNRNPUL1,KDM1A,KHSRP,LUC7L,LUC7L2,LUC7L3,NCL,NPM1,PABPC1,PABPN1,PCBP2,PCF11,PNN,POLR2A,POLR2E,POLR2H,POLR2J,PRCC,PRPF19,PRPF31,PRPF40A,PRPF4B,PRPF6,PRPF8,PTBP1,RALY,RBFOX2,RBM10,RBM15,RBM17,RBM19,RBM25,RBM3,RBM4,RBM4B,RBM5,SART1,SART3,SCAF11,SF1,SF3A2,SF3B1,SF3B2,SF3B3,SFPQ,SFSWAP,SNRNP200,SNRNP25,SNRNP70,SNRPA,SON,SRPK2,SRRM1,SRRM2,SRRT,SRSF1,SRSF10,SRSF11,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,SUGP1,SYMPK,THRAP3,TIA1,TRA2B,TXNL4A,TXNL4B,U2AF2,WBP11,WDR33,YBX1,YTHDC1,ZBTB7A	341	1.74919970257633e-24	3.65375967495652	6.74666325283692e-21
GO_SENSORY_PERCEPTION	ABCC6,ADORA2A,ATP2B2,ATXN7,BBS1,CCDC50,CEP250,CHD7,COL18A1,DIAPH1,DLG2,EPAS1,EPS8L2,FFAR4,KCNQ1,KIFC3,LAMB2,MTOR,MYH14,MYO6,MYO7A,NIPBL,NR2F6,PRR4,RBP4,SCN9A,SLC4A10,TAS2R14,TGFBI,UBR3,UCHL1	902	2.0536000511858e-23	0.229886230392933	7.91868179737244e-20
GO_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	CEP250,FFAR4,NR2F6,TAS2R14	465	1.30713854682187e-22	0.0570604833867697	5.03901909799832e-19
