gs_name	gene_hits	n	p.value	odds	padj
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	ARL6IP1,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,SEC61B,UBA52	99	1.03827309659533e-40	17.245842854196	3.85199318836866e-37
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	CHMP4B,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,RYR2,SEC61B,SPCS2,SPCS3,UBA52	111	3.81817779500326e-39	13.8568265711167	1.41616214416671e-35
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	CHMP4B,INSIG1,KDELR1,RER1,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,RYR2,SEC61B,SPCS2,SPCS3,UBA52,UBAC2,VAPA	135	4.58194619509111e-36	9.97847063466064	1.69898564913978e-32
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	EIF4G1,GSPT1,PABPC1,PPP2CA,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,SMG5,UBA52	120	7.86265358744144e-36	11.254614609598	2.91468568486454e-32
GO_VIRAL_GENE_EXPRESSION	EIF2D,EIF3A,EIF3B,EIF3G,GTF2B,HMGA2,NELFA,NELFB,NUCKS1,NUP160,NUP62,NUP88,PCBP2,POLR2A,POLR2E,POM121,PSMC3,PTBP1,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,RSF1,SEC13,SPCS3,TARBP2,TARDBP,TPR,UBA52	192	7.40395719038873e-34	6.80302669833045	2.74390653475806e-30
GO_TRANSLATIONAL_INITIATION	AGO2,BANK1,DNAJC3,EIF1,EIF1AX,EIF1B,EIF2D,EIF3A,EIF3B,EIF3G,EIF4B,EIF4EBP2,EIF4G1,EIF4G2,EIF4H,EIF6,HSPB1,LARP1,NPM1,PABPC1,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,RXRA,TPR,UBA52	190	1.21251771743211e-32	6.646509778377	4.49237814308597e-29
GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	ADAR,AMBP,ANXA2,AP1G1,AP2B1,AP2M1,AZI2,BCL2,BCL2L1,BIN1,BTRC,C1QBP,CBL,CBX5,CCDC86,CD74,CDC42,CDH1,CEBPA,CFL1,CHD6,CHMP3,CHMP4B,CLDN1,CPSF4,CREBBP,CTNNB1,CTNND1,CUL4A,DDX39B,EIF2D,EIF3A,EIF3B,EIF3G,EIF4G1,EIF4H,ELMO1,F2RL1,FBLN1,FBXL2,FDPS,FN1,G3BP1,G3BP2,GAPDH,GPS2,GRK2,GTF2B,HCFC1,HIPK2,HMGA1,HMGA2,HMGN2,HNRNPA1,HNRNPK,HSP90AB1,HSPA1B,HSPA8,IL6ST,IPO7,IST1,ITGA5,IVNS1ABP,KDM4A,KPNA1,KPNA7,KPNB1,KRT18,KRT8,LAMP1,LARP1,MAGI3,MAPK1,MET,MVB12B,NELFA,NELFB,NPM1,NUCKS1,NUP160,NUP62,NUP88,P4HB,PABPC1,PABPN1,PAK2,PC,PCBP2,PDCD6IP,PI4KA,PLG,POLA1,POLR2A,POLR2E,POM121,PPIA,PPIB,PROX1,PSMB3,PSMB7,PSMC3,PTBP1,RAB1B,RAB43,RAB7A,RACK1,RCOR1,RHOA,RNF216,ROCK2,ROMO1,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,RPTOR,RSF1,RXRA,S100A9,SCARB1,SCARB2,SEC13,SERINC5,SHC1,SIVA1,SLC20A2,SLC25A6,SND1,SPCS3,SPEN,SRCAP,SRPK1,SRPK2,STAU1,SUPT6H,SYNCRIP,TAF4,TARBP2,TARDBP,TBC1D20,TCP1,TGFB1,THOC5,TLN1,TNFRSF1A,TPR,TYMS,TYRO3,UBA52,UBAP1,UBE2I,UBP1,UCKL1,UNG,USP7,VAPA,VAPB,VCP,VDAC1,VPS4A,WAPL,XPO1,YWHAB,YWHAE,ZYX	920	1.88112008729724e-27	2.55863577625464	6.96766880334899e-24
GO_PROTEIN_TARGETING_TO_MEMBRANE	ANK3,ARL6IP1,CACNB3,CHMP4B,CHP1,FIS1,KCNB1,MYO1C,PARD3,PEX26,RAB8B,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,SEC61B,TAOK2,TCAF1,UBA52	191	3.67430673179976e-26	5.5263621652922	1.36059578278545e-22
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	ACSL3,ANK3,ARL6IP1,BCL2,BID,BRAF,CACNB3,CALM3,CD24,CHMP4B,CHP1,CLIP1,COLQ,CSK,E2F1,FIS1,GET4,GRIPAP1,KCNB1,KRT18,MAPK10,MYO1C,NMT1,PARD3,PEX26,PPP3R1,RAB8B,RACK1,ROMO1,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,SEC61B,SPTBN1,SYNE3,TAOK2,TCAF1,TFDP1,TIMM9,TOMM22,UBA52,YWHAB,YWHAE,YWHAQ,YWHAZ	319	1.11996821764248e-24	3.87009069884064	4.14612234171246e-21
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	AGO2,ATM,CNOT9,CSDE1,EDC3,EIF4G1,GSPT1,LSM3,PABPC1,PATL1,PPP2CA,RPL10,RPL11,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL26,RPL27,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7A,RPL8,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS8,RPS9,RPSA,SMG5,UBA52	200	3.73518208465798e-23	4.89080308410181	1.38239088953192e-19
