id	adj.P.Val.SCoV2.over.RMRP	logFC.SCoV2.over.RMRP	geneSymbol	species
NP_000911.2	0.60741379	-0.277742441	PC	HOMO SAPIENS
YP_009724390.1	0.000610692	2.437757559	S	SARSCOV2_NC_045512.2
NP_942133.1	0.042579888	-1.229242441	ACACA	HOMO SAPIENS
NP_001084.3	0.096976024	-0.987742441	ACACB	HOMO SAPIENS
YP_009724397.2	0.000497122	2.530257559	N	SARSCOV2_NC_045512.2
NP_000468.1	0.19086977	-0.748242441	ALB	HOMO SAPIENS
NP_000273.2	0.330115896	-0.564742441	PCCA	HOMO SAPIENS
NP_004095.4	0.90371809	0.065257559	FASN	HOMO SAPIENS
NP_002147.2	0.351500592	-0.525242441	HSPD1	HOMO SAPIENS
NP_001287750.1	0.007046767	1.731757559	EIF4B	HOMO SAPIENS
NP_004125.3	0.206589157	-0.730242441	HSPA9	HOMO SAPIENS
NP_005372.2	0.000369151	-3.957242441	NCL	HOMO SAPIENS
NP_001128715.1	0.343679618	-0.526742441	TCOF1	HOMO SAPIENS
NP_573566.2	0.131765113	-0.835742441	LRPPRC	HOMO SAPIENS
NP_002559.2	0.005676427	1.821257559	PABPC1	HOMO SAPIENS
NP_001129125.1	0.002919194	2.976257559	PABPC4	HOMO SAPIENS
NP_001123551.1	0.009728691	1.642257559	MOV10	HOMO SAPIENS
NP_001007554.1	0.009728691	1.655757559	CSDE1	HOMO SAPIENS
NP_057417.3	0.094436934	-0.940242441	SRRM2	HOMO SAPIENS
NP_001258898.1	0.868194769	-0.093742441	HSP90AB1	HOMO SAPIENS
NP_001017963.2	0.9945552	0.003257559	HSP90AA1	HOMO SAPIENS
NP_003290.1	0.742832431	-0.176742441	HSP90B1	HOMO SAPIENS
NP_001258978.1	0.121400991	-0.868242441	TRAP1	HOMO SAPIENS
NP_004550.2	0.001787464	2.237757559	YBX1	HOMO SAPIENS
NP_003642.3	0.220454031	4.904257559	YBX3	HOMO SAPIENS
NP_001138898.1	0.002303468	2.586614747	YBX3	HOMO SAPIENS
NP_064551.3	0.20872403	-0.748742441	MCCC1	HOMO SAPIENS
NP_055205.2	0.005798041	1.785257559	SND1	HOMO SAPIENS
NP_001153146.1	0.002923657	1.990757559	SYNCRIP	HOMO SAPIENS
NP_002645.3	0.309162593	0.565757559	PKM	HOMO SAPIENS
NP_001092.1	0.142350732	0.796257559	ACTB	HOMO SAPIENS
NP_001091.1	0.110331196	0.904257559	ACTA1	HOMO SAPIENS
NP_006537.3	0.053572467	1.094257559	IGF2BP1	HOMO SAPIENS
NP_006538.2	0.320052744	0.552257559	IGF2BP3	HOMO SAPIENS
NP_001007226.1	0.020484197	1.374257559	IGF2BP2	HOMO SAPIENS
NP_004406.2	0.296907427	-1.701742441	DSP	HOMO SAPIENS
NP_006588.1	0.227528305	0.665757559	HSPA8	HOMO SAPIENS
NP_005338.1	0.622664907	-0.260242441	HSPA5	HOMO SAPIENS
NP_005336.3	0.844247097	-0.108242441	HSPA1A	HOMO SAPIENS
NP_001952.1	0.060241189	1.088257559	EEF2	HOMO SAPIENS
NP_001276674.1	0.824675767	0.124257559	GAPDH	HOMO SAPIENS
NP_001139332.1	1.83856E-06	-4.929742441	POP1	HOMO SAPIENS
NP_001257328.1	0.333346188	0.524257559	TUBA1A	HOMO SAPIENS
NP_001265481.1	0.959150445	-0.026742441	TUBA4A	HOMO SAPIENS
NP_001180343.1	0.55502637	-0.319742441	TUBA8	HOMO SAPIENS
NP_003312.3	0.534586602	-0.337242441	TUFM	HOMO SAPIENS
NP_000996.2	0.049343726	1.159757559	RPS3	HOMO SAPIENS
NP_001180345.1	0.01467949	1.549257559	DDX3X	HOMO SAPIENS
NP_001280141.1	0.772365935	0.160257559	TUBB	HOMO SAPIENS
NP_006079.1	0.413481138	0.424257559	TUBB4B	HOMO SAPIENS
NP_001305116.1	0.9905106	-0.005742441	HNRNPK	HOMO SAPIENS
NP_001017423.1	0.692603933	-0.215242441	ALDH18A1	HOMO SAPIENS
NP_001185747.1	0.009728691	2.150257559	A1CF	HOMO SAPIENS
NP_001092104.1	0.179774851	0.741257559	RBM47	HOMO SAPIENS
NP_001275582.1	0.959150445	-0.026242441	CLTC	HOMO SAPIENS
NP_066953.1	0.051929531	1.096257559	PPIA	HOMO SAPIENS
NP_001393.1	0.091228835	0.965757559	EEF1A1	HOMO SAPIENS
YP_009724393.1	0.006251561	1.791257559	M	SARSCOV2_NC_045512.2
NP_005745.1	0.155303765	0.779257559	G3BP1	HOMO SAPIENS
NP_001032897.1	0.086223238	0.951257559	EIF3C	HOMO SAPIENS
NP_112533.1	0.111272455	0.876257559	HNRNPA2B1	HOMO SAPIENS
NP_002127.1	0.020329159	1.409757559	HNRNPA1	HOMO SAPIENS
NP_001122383.1	0.073196238	1.028757559	PCBP2	HOMO SAPIENS
NP_006187.2	0.290910729	0.596757559	PCBP1	HOMO SAPIENS
NP_001407.1	0.35037592	0.502257559	EIF4A1	HOMO SAPIENS
NP_001958.2	0.269888411	0.709257559	EIF4A2	HOMO SAPIENS
NP_055555.1	0.253299812	-0.645742441	EIF4A3	HOMO SAPIENS
NP_001263408.1	0.288328921	-0.616242441	LONP1	HOMO SAPIENS
NP_001244222.1	0.861981204	0.098757559	HNRNPH1	HOMO SAPIENS
NP_001091674.1	0.602966224	-0.285742441	HNRNPF	HOMO SAPIENS
NP_003925.1	0.052137284	1.126257559	FUBP3	HOMO SAPIENS
NP_005313.1	0.021955566	-2.838242441	HIST1H1B	HOMO SAPIENS
NP_005311.1	0.067466148	-2.947242441	HIST1H1D	HOMO SAPIENS
NP_005310.1	0.052137284	-2.149242441	HIST1H1C	HOMO SAPIENS
NP_005316.1	0.237669421	-0.784742441	HIST1H1A	HOMO SAPIENS
NP_000173.2	0.285827953	-0.589742441	HADHA	HOMO SAPIENS
NP_071496.1	0.009105661	1.608757559	EIF4H	HOMO SAPIENS
NP_002941.1	0.844247097	-0.110242441	RPN1	HOMO SAPIENS
NP_001143.2	0.401065784	0.452257559	SLC25A5	HOMO SAPIENS
NP_001627.2	0.674540706	0.224257559	SLC25A6	HOMO SAPIENS
NP_001158886.1	0.340572819	0.511257559	LDHA	HOMO SAPIENS
NP_060263.2	1.12859E-05	-6.448242441	RPP25	HOMO SAPIENS
NP_001677.2	0.469146076	-0.414742441	ATP5F1B	HOMO SAPIENS
NP_001002857.1	0.444115777	0.519257559	ANXA2	HOMO SAPIENS
NP_886553.3	0.060323304	1.025257559	EIF4G1	HOMO SAPIENS
NP_000117.1	0.58273834	-0.297742441	ETFA	HOMO SAPIENS
NP_001276839.1	0.237669421	-0.661242441	IDH2	HOMO SAPIENS
NP_001419.1	0.285827953	0.603257559	ENO1	HOMO SAPIENS
NP_620305.2	0.033137771	-1.297242441	SON	HOMO SAPIENS
NP_001348.2	0.617409865	-0.271242441	DHX9	HOMO SAPIENS
NP_001002909.1	0.061653371	-1.106742441	GPATCH8	HOMO SAPIENS
NP_001159828.1	0.300342414	-0.587742441	SHMT2	HOMO SAPIENS
NP_001189360.1	0.918045356	0.056757559	PRDX1	HOMO SAPIENS
NP_005800.3	0.388297171	-0.465242441	PRDX2	HOMO SAPIENS
NP_005304.3	0.670296323	0.224257559	PDIA3	HOMO SAPIENS
NP_001120665.1	0.000110706	3.939614747	CNBP	HOMO SAPIENS
NP_004152.1	0.343679618	0.514757559	RAB1A	HOMO SAPIENS
NP_112243.1	0.648334502	0.242257559	RAB1B	HOMO SAPIENS
