SC127.M3	SC128.M2	SC130.M1	SC126.SCoV3	SC129.SCoV2	SC131.SCoV1	id.query
-0.687980575	-0.659502076	-0.600718333	0.767523968	0.925630936	0.710624193	NP_000436
-0.445163901	-0.944287063	-0.579640496	1.058252743	0.086105203	-0.806980016	NP_958781
-2.239309321	-1.993494911	-1.507065291	2.26768445	1.923016208	2.192094968	NP_112598
0.134898152	-0.029977367	0.052694591	-0.034887453	0.136333239	-0.024088956	NP_001367
-0.404694456	-0.449660506	-0.590179415	0.814040572	0.846701166	0.44564568	NP_001333374
-0.188857413	-0.164875519	-0.021077836	0.11629151	0.114806938	-0.036133434	NP_001123910
-0.741939835	0.659502076	0.969580467	0.232583021	-0.681666193	-0.975602706	NP_003118
-1.591798192	-0.71945681	-0.537484824	0.11629151	0.904104635	1.517604209	NP_001350688
-1.389450965	-1.348981519	-1.865388507	1.744372654	1.076315042	0.987647184	NP_001350694
-0.040469446	-0.164875519	0.073772427	-0.069774906	0.308543645	0.108400301	NP_008835
-0.256306489	-0.404694456	-0.252934035	0.90707378	0.222438442	0.228845079	NP_036222
-1.106164846	-0.644513392	-0.663951841	1.279206613	0.609911857	0.843113449	NP_001138241
0.269796304	1.993494911	-0.358323216	2.023472278	0.77494683	-1.421248386	NP_001714
-0.134898152	-0.20984157	-0.263472953	0.558199249	0.444876884	0.228845079	NP_004478
-2.657493592	-0.704468127	0.115928099	1.569935388	0.961508104	0.939469272	NP_001243415
0.593551868	-0.539592608	-0.189700526	-2.163022091	1.607297129	0.036133434	NP_001243417
0.013489815	0	-0.105389181	-0.104662359	0.165034973	-0.060222389	NP_003119
-2.198839876	0.164875519	0.126467017	0.953590384	0.330069946	0.578134937	NP_842565
-1.106164846	-0.989253114	-0.758802104	1.151285952	0.997385272	1.216492263	NP_008877
-0.593551868	0.97426443	-1.211975583	0.837298874	0.014350867	0.638357326	NP_001020029
0.040469446	0.809388911	0.72718535	-0.430278588	-0.688841627	-0.457690158	NP_066022
-0.296775934	-0.104920785	-0.063233509	-0.058145755	0.287017344	0.132489256	NP_006280
-0.161877782	-0.20984157	-0.200239444	0.33724538	0.064578903	0.180667168	NP_055874
-0.984756509	-0.404694456	-0.358323216	0.639603306	0.452052318	0.385423291	NP_005742
0.714960205	0.944287063	1.001197221	-0.674490759	-0.911280069	-0.879246883	NP_055426
-0.607041684	-0.479637873	-0.368862134	0.45353689	0.523806654	0.469734636	NP_001157789
-0.566572238	-0.46464919	-0.274011871	0.372132833	0.308543645	0.50586807	NP_001104026
0.013489815	-0.449660506	-0.695568596	0.976848686	0.487929486	0.554045981	NP_001120959
-0.134898152	0.119909468	0.305628625	-0.081404057	-0.107631504	-0.156578212	NP_006258
-1.03871577	-0.359728405	-0.453173479	1.24431916	1.198297413	0.361334335	NP_001116835
-3.183596385	1.154128633	-3.351375961	-0.45353689	3.831681549	0.024088956	NP_872394
-4.573047349	-1.034219165	-2.982513827	1.581564539	1.714928633	1.939160933	NP_001071638
-1.713206529	-1.229072051	-1.517604209	1.918809919	1.635998863	1.890983022	NP_002323
-0.768919466	-0.629524709	-0.716646432	0.581457551	0.95433267	0.770846582	NP_002464
-1.011736139	-0.194852886	0.147544854	0.11629151	-0.243964743	0.084311345	NP_001242941
-5.112639957	2.383200683	-0.200239444	-1.221060858	0.114806938	2.168006013	NP_005955
-0.72845002	-0.584558658	-0.432095643	0.79078227	0.674490759	0.469734636	NP_001070654
-0.863348172	-0.854354962	-0.800957777	0.104662359	-0.229613876	0.421556725	NP_060003
0.539592608	-0.749434177	-1.875927425	1.942068221	1.305928917	-0.638357326	NP_002461
-2.738432483	-0.494626557	-0.516406988	-0.721007364	2.819945409	1.686226899	NP_005954
-3.655739916	-6.84982838	-1.528143127	7.37288175	2.14545465	4.42032337	NP_001093582
-0.836368542	-1.109162582	-0.600718333	1.430385576	1.119367643	1.650093465	NP_002462
1.591798192	1.543834405	1.380598273	-1.442014727	-1.083490475	-1.39715943	NP_004095
0.067449076	0.194852886	0.189700526	-0.081404057	-0.401824282	-0.252934035	NP_065816
0.418184271	0.479637873	0.379401052	-0.348874531	-0.459227751	-0.397467769	NP_004406
5.166599218	5.620756329	4.900596924	-5.6750257	-6.005837933	-7.359175965	NP_000375
0.013489815	-0.299773671	0.063233509	0.279099625	0.043052602	0.060222389	NP_001243000
0.404694456	0.599547342	0.674490759	-0.465166041	-0.566859255	-0.638357326	NP_006827
-0.107918522	-0.20984157	-0.263472953	0.151178963	0.193736708	0.180667168	NP_113584
0.296775934	0.149886835	0.284550789	-0.104662359	-0.538157521	-0.481779114	NP_009055
-0.418184271	1.244060734	0.885269122	0.523311796	-1.858437305	-2.457073481	NP_000100
1.052205585	3.027714076	-0.210778362	0.721007364	-2.611857835	-3.155653196	NP_004013
0.553082423	0.899321013	4.584429381	-6.12856259	-0.200912141	0.012044478	NP_004010
0.121408337	-0.029977367	0.252934035	-0.255841323	0.17938584	0.036133434	NP_006436
0.323755565	0.404694456	0.674490759	-0.325616229	-0.416175149	-0.361334335	NP_054733
0.080938891	0.50961524	0.769341023	-0.267470474	-0.688841627	-0.674490759	NP_001166184
1.591798192	0.539592608	1.79161608	-1.465273029	-2.375068525	-2.131872579	NP_002069
-0.431674086	-0.449660506	-0.274011871	0.11629151	0.724718795	0.722668671	NP_001275582
-1.254552813	-0.269796304	-0.432095643	1.976955674	1.083490475	0.361334335	NP_009029
-0.323755565	-0.524603924	-0.368862134	0.558199249	0.609911857	0.156578212	NP_003283
