name,description,community
3A,,Not Assigned
A1CF,APOBEC1 complementation factor,Community - 4
ACTA2,actin alpha 2 smooth muscle aorta,Community - 1
ACTB,actin beta,Community - 1
ACTR2,ARP2 actin-related protein 2 homolog (yeast),Community - 3
ALMS1,Alstrom syndrome 1,Not Assigned
ANXA1,annexin A1,Community - 1
APOE,apolipoprotein E,Community - 1
ATP1A1,ATPase Na+/K+ transporting alpha 1 polypeptide,Community - 1
ATXN2L,ataxin 2-like,Community - 2
CAPRIN1,cell cycle associated protein 1,Community - 2
CCT3,chaperonin containing TCP1 subunit 3 (gamma),Community - 1
CFL1,cofilin 1 (non-muscle),Community - 1
CLIC4,chloride intracellular channel 4,Community - 1
CNBP,CCHC-type zinc finger nucleic acid binding protein,Community - 4
CSDE1,cold shock domain containing E1 RNA-binding,Community - 4
DDX1,DEAD (Asp-Glu-Ala-Asp) box helicase 1,Community - 1
DDX3X,DEAD (Asp-Glu-Ala-Asp) box helicase 3 X-linked,Community - 1
EEF1A1,eukaryotic translation elongation factor 1 alpha 1,Community - 1
EEF2,eukaryotic translation elongation factor 2,Community - 1
EGFR,epidermal growth factor receptor,Community - 3
EIF1AY,eukaryotic translation initiation factor 1A Y-linked,Community - 1
EIF3CL,eukaryotic translation initiation factor 3 subunit C-like,Community - 4
EIF3E,eukaryotic translation initiation factor 3 subunit E,Community - 1
EIF3G,eukaryotic translation initiation factor 3 subunit G,Community - 4
EIF3H,eukaryotic translation initiation factor 3 subunit H,Community - 4
EIF3L,eukaryotic translation initiation factor 3 subunit L,Not Assigned
EIF4B,eukaryotic translation initiation factor 4B,Community - 1
EIF4G1,eukaryotic translation initiation factor 4 gamma 1,Community - 4
EIF4H,eukaryotic translation initiation factor 4H,Community - 4
EIF5A,eukaryotic translation initiation factor 5A,Not Assigned
FUBP3,far upstream element (FUSE) binding protein 3,Not Assigned
G3BP1,GTPase activating protein (SH3 domain) binding protein 1,Community - 2
G3BP2,GTPase activating protein (SH3 domain) binding protein 2,Community - 1
GALNT1,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1),Not Assigned
GPI,glucose-6-phosphate isomerase,Community - 3
GSPT1,G1 to S phase transition 1,Community - 3
HDLBP,high density lipoprotein binding protein,Community - 4
HNRNPA0,heterogeneous nuclear ribonucleoprotein A0,Community - 1
HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,Community - 1
HNRNPA2B1,heterogeneous nuclear ribonucleoprotein A2/B1,Community - 1
HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,Not Assigned
HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B,Not Assigned
HNRNPL,heterogeneous nuclear ribonucleoprotein L,Community - 4
IGF2BP1,insulin-like growth factor 2 mRNA binding protein 1,Community - 1
IGF2BP2,insulin-like growth factor 2 mRNA binding protein 2,Community - 1
L1RE1,LINE1 retrotransposable element 1,Not Assigned
LARP4,La ribonucleoprotein domain family member 4,Not Assigned
LASP1,LIM and SH3 protein 1,Community - 1
LIN28B,lin-28 homolog B (C. elegans),Not Assigned
LSM14A,LSM14A SCD6 homolog A (S. cerevisiae),Community - 2
M,,Not Assigned
MOV10,Mov10 Moloney leukemia virus 10 homolog (mouse),Community - 4
MSI2,musashi RNA-binding protein 2,Not Assigned
orf9B,,Not Assigned
PABPC1,poly(A) binding protein cytoplasmic 1,Community - 4
PABPC4,poly(A) binding protein cytoplasmic 4 (inducible form),Community - 1
PATL1,protein associated with topoisomerase II homolog 1 (yeast),Community - 1
PCBP2,poly(rC) binding protein 2,Community - 4
PEBP1,phosphatidylethanolamine binding protein 1,Not Assigned
PFN1,profilin 1,Community - 3
PGK1,phosphoglycerate kinase 1,Community - 4
POLYPROTEIN,,Not Assigned
(PP1AB),,Not Assigned
PPIA,peptidylprolyl isomerase A (cyclophilin A),Community - 3
