A	B	score	A_gene	B_gene	AinRAP	BinRAP
9606.ENSP00000196551	9606.ENSP00000222247	999	RPS5	RPL18A	TRUE	FALSE
9606.ENSP00000202773	9606.ENSP00000222247	999	RPL6	RPL18A	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000225430	999	RPL18A	RPL19	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000230050	999	RPL18A	RPS12	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000251453	999	RPL18A	RPS16	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000252543	999	RPL18A	RPL36	FALSE	TRUE
9606.ENSP00000216038	9606.ENSP00000258457	999	RTCB	C2orf49	FALSE	TRUE
9606.ENSP00000251849	9606.ENSP00000261313	999	RAF1	PEBP1	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000262584	999	RPL18A	RPL8	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000265100	999	RPL18A	RPL26L1	FALSE	TRUE
9606.ENSP00000196551	9606.ENSP00000270625	999	RPS5	RPS11	TRUE	FALSE
9606.ENSP00000202773	9606.ENSP00000270625	999	RPL6	RPS11	TRUE	FALSE
9606.ENSP00000225430	9606.ENSP00000270625	999	RPL19	RPS11	TRUE	FALSE
9606.ENSP00000230050	9606.ENSP00000270625	999	RPS12	RPS11	TRUE	FALSE
9606.ENSP00000251453	9606.ENSP00000270625	999	RPS16	RPS11	TRUE	FALSE
9606.ENSP00000262584	9606.ENSP00000270625	999	RPL8	RPS11	TRUE	FALSE
9606.ENSP00000265100	9606.ENSP00000270625	999	RPL26L1	RPS11	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000274242	999	RPL18A	RPL37	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000287038	999	RPL18A	RPL30	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000287038	999	RPS11	RPL30	FALSE	TRUE
9606.ENSP00000262056	9606.ENSP00000293831	999	EIF4B	EIF4A1	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000293842	999	RPL18A	RPL26	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000293842	999	RPS11	RPL26	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000296674	999	RPL18A	RPS23	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000296674	999	RPS11	RPS23	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000307889	999	RPL18A	RPL13	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000307940	999	RPS11	EEF2	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000309334	999	RPL18A	RPL15	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000309334	999	RPS11	RPL15	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000309830	999	RPL18A	RPL38	FALSE	TRUE
9606.ENSP00000196551	9606.ENSP00000311028	999	RPS5	RPS14	TRUE	FALSE
9606.ENSP00000202773	9606.ENSP00000311028	999	RPL6	RPS14	TRUE	FALSE
9606.ENSP00000225430	9606.ENSP00000311028	999	RPL19	RPS14	TRUE	FALSE
9606.ENSP00000230050	9606.ENSP00000311028	999	RPS12	RPS14	TRUE	FALSE
9606.ENSP00000251453	9606.ENSP00000311028	999	RPS16	RPS14	TRUE	FALSE
9606.ENSP00000252543	9606.ENSP00000311028	999	RPL36	RPS14	TRUE	FALSE
9606.ENSP00000262584	9606.ENSP00000311028	999	RPL8	RPS14	TRUE	FALSE
9606.ENSP00000287038	9606.ENSP00000311028	999	RPL30	RPS14	TRUE	FALSE
9606.ENSP00000296674	9606.ENSP00000311028	999	RPS23	RPS14	TRUE	FALSE
9606.ENSP00000307940	9606.ENSP00000311028	999	EEF2	RPS14	TRUE	FALSE
9606.ENSP00000309334	9606.ENSP00000311028	999	RPL15	RPS14	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000311430	999	RPL18A	RPL4	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000311430	999	RPS11	RPL4	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000311430	999	RPS14	RPL4	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000313007	999	UPF1	PABPC1	FALSE	TRUE
9606.ENSP00000305958	9606.ENSP00000325875	999	STIP1	HSP90AB1	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000331019	999	RPS11	RPS27L	FALSE	TRUE
9606.ENSP00000210060	9606.ENSP00000336702	999	DHPS	EIF5A	TRUE	FALSE
9606.ENSP00000262056	9606.ENSP00000338020	999	EIF4B	EIF4G1	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000339027	999	RPL18A	RPLP0	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000339027	999	RPS11	RPLP0	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000339027	999	RPS14	RPLP0	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000341885	999	RPL18A	RPS2	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000341885	999	RPS11	RPS2	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000341885	999	RPS14	RPS2	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000345156	999	RPL18A	RPL14	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000345156	999	RPS11	RPL14	FALSE	TRUE
9606.ENSP00000196551	9606.ENSP00000346001	999	RPS5	RPL3	TRUE	FALSE
9606.ENSP00000202773	9606.ENSP00000346001	999	RPL6	RPL3	TRUE	FALSE
9606.ENSP00000225430	9606.ENSP00000346001	999	RPL19	RPL3	TRUE	FALSE
