adj.P.Val.SARS.CoV.over.RMRP	logFC.SARS.CoV.over.RMRP	accession_number	geneSymbol
0.000262906	3.957357814	P62633-4	CNBP
0.000793059	2.533172797	P0DTC9	N
0.000906653	2.465672797	P0DTC2	S
0.001580959	2.364672797	Q71RC2	LARP4
0.001824095	2.272672797	P31948	STIP1
0.001892434	2.129172797	Q9UN81	L1RE1
0.002324655	2.273672797	P67809	YBX1
0.003161643	2.604357814	P16989-2	YBX3
0.003790973	2.022172797	O60506-3	SYNCRIP
0.003893836	2.031672797	Q9UN86	G3BP2
0.004230532	2.992672797	Q13310-2	PABPC4
0.004230532	1.971172797	E7EQV3	PABPC1
0.005167246	2.426672797	A0A024R7W5	YTHDF3
0.005286408	2.359357814	P0DTC3	3a
0.005286408	1.886172797	Q7KZF4	SND1
0.005859566	2.053172797	Q9Y3I0	RTCB
0.005859566	1.973172797	Q92900	UPF1
0.007513025	1.807672797	P0DTC5	M
0.008423982	1.748172797	E7EX17	EIF4B
0.008545056	2.293857814	Q86TB9-2	PATL1
0.009219773	1.738672797	O75534	CSDE1
0.010018068	1.625172797	Q15056	EIF4H
0.010108886	1.672172797	Q9HCE1	MOV10
0.010990404	1.603672797	F8W1T6	RBMS2
0.012355636	2.166672797	Q9NQ94	A1CF
0.012355636	1.673172797	F8VYE8	PPP1CC
0.012355636	1.687172797	A0A0D9SF53	DDX3X
0.012355636	1.617172797	E9PQD7	RPS2
0.012644632	2.075357814	Q53S08	RAB6C
0.012644632	1.690172797	P20340	RAB6A
0.013135589	2.105172797	Q8WVM8	SCFD1
0.019180969	1.479172797	P60228	EIF3E
0.019421617	1.495172797	P62263	RPS14
0.020171861	2.053172797	A0A1B0GVD3	LIN28B
0.021986634	1.382172797	P61313	RPL15
0.021986634	1.443172797	Q8ND56	LSM14A
0.022567719	1.783672797	F5H6T1	ACTR2
0.022567719	1.390672797	F8W930	IGF2BP2
0.022567719	1.378172797	E9PR38	PUM1
0.022567719	1.426172797	F8W6I7	HNRNPA1
0.022567719	1.596172797	A0A1W2PQS6	RPS10-NUDT3
0.022871529	1.418172797	Q9NUL5	RYDEN
0.028060568	1.390172797	P04083	ANXA1
0.034147565	1.409672797	O60763	USO1
0.034650631	2.052672797	Q9Y696	CLIC4
0.034650631	2.103672797	G3V153	CAPRIN1
0.038550664	1.268672797	A0A087X2G1	DDX1
0.038896498	1.631672797	Q02878	RPL6
0.041040075	1.482172797	P23528	CFL1
0.043560772	1.244672797	Q96I24	FUBP3
0.052607804	1.165172797	I3L504	EIF5A
0.052607804	1.190672797	P23396	RPS3
0.054174529	1.178172797	P26373	RPL13
0.054174529	1.217172797	P62140	PPP1CB
0.058317499	1.112672797	P62937	PPIA
0.058551308	2.353172797	A0A087WZK9	EIF3H
0.058551308	1.112672797	P62701	RPS4X
0.059517854	1.113172797	P62854	RPS26
0.059517854	1.178172797	P51991	HNRNPA3
0.059730258	1.118672797	A0A024R4E5	HDLBP
0.062171778	1.111672797	D6R9P3	HNRNPAB
0.062171778	1.146672797	Q8WWM7	ATXN2L
0.062171778	1.334172797	A6NJH9	EIF1AY
0.065390546	1.111172797	M0QZC5	RPS11
0.065390546	1.306672797	Q10472	GALNT1
0.067515809	1.041672797	E7EUU4	EIF4G1
0.068384576	1.212172797	P27105	STOM
0.07191512	1.071172797	Q8NC51	SERBP1
0.07191512	1.052172797	P05023	ATP1A1
0.07191512	1.034672797	B4DUR8	CCT3
0.07191512	1.090172797	B4DHE8	MSI2
0.072144699	1.028172797	G3V1B3	RPL21
0.07219746	1.114172797	Q13151	HNRNPA0
0.072209978	1.036672797	P0DTD1	PP1AB
0.074129503	1.052672797	P13639	EEF2
0.076178295	1.526672797	P62820	RAB1A
0.079123541	1.046672797	P25398	RPS12
0.080864939	1.045172797	Q15366	PCBP2
0.082502927	0.983172797	Q9NZI8	IGF2BP1
0.082502927	1.180672797	M0R0R2	RPS5
0.084948896	1.007672797	P02649	APOE
0.089958082	0.953172797	B5ME19	EIF3CL
0.090385268	2.537172797	O75821	EIF3G
0.09469068	0.992172797	P68104	EEF1A1
0.096243679	0.933672797	P62917	RPL8
0.098532185	0.923672797	P60709	ACTB
0.102599412	0.916672797	K7EJ44	PFN1
0.103820088	0.982672797	M0R117	RPL18A
0.10713366	0.931672797	P62633	CNBP
0.114436728	0.887672797	Q14847	LASP1
0.114436728	0.892672797	P22626	HNRNPA2B1
0.114436728	0.920672797	P62736	ACTA2
0.115577542	0.873672797	P39023	RPL3
0.116583191	0.861172797	P0DTD2	ORF9b
0.12137058	0.843172797	H0Y5B4	RPL36A
0.128085884	3.373172797	A0A087WTU9	ALMS1
0.13265374	0.891672797	P30086	PEBP1
