adj.P.Val.SCoV.over.Mock	geneSymbol	Log.P.Value.SCoV.over.Mock	logFC.SCoV.over.Mock
0.004926907	PLEC	31.28940695	1.441020582
0.282284104	PLEC	7.061889005	0.738589348
0.002140962	EPPK1	36.9605398	4.122638729
0.002616417	EPPK1	35.57392105	5.638963596
0.900074226	DYNC1H1	0.643498612	-0.040328059
0.013723765	AHNAK	24.69440539	1.151226758
0.571558166	SPTAN1	3.22973358	0.17059225
0.31255384	SPTAN1	6.494105684	-0.774871807
0.032154726	SPTAN1	19.45963586	1.748554905
0.001894962	SPTAN1	37.82636392	2.740274515
0.095833607	MACF1	13.12065835	0.702121683
0.356744442	MACF1	5.776437389	0.912608493
0.229285031	DST	8.224849336	0.899634619
0.075497655	DST	14.50171359	1.250156883
0.964020929	DST	0.217990632	0.06412494
0.667825241	PRKDC	2.378098009	0.141230001
0.091467449	GOLGB1	13.39608601	0.584165431
0.059251832	GOLGB1	15.89647777	2.183417906
0.920794289	GOLGB1	0.502030155	-0.138531328
0.955105333	SPTBN1	0.275462714	0.018133911
0.206606843	SPTBN1	8.802825091	1.218028835
0.002003291	SPTBN2	37.42561857	2.020173503
0.36080748	SPTB	5.720470408	0.746260692
0.529579649	SPTBN4	3.650379527	-0.463899243
0.471645841	TLN1	4.279353703	0.226472906
0.225452387	TLN2	8.317030799	0.384053834
0.029936962	AKAP9	19.89489604	1.040343659
0.053617375	AKAP9	16.45381636	1.250266277
0.003463511	MDN1	33.72412111	-1.69169038
0.019847946	FLNB	22.35532317	0.948232693
0.036940637	FLNA	18.63422139	0.803254761
0.040251915	FLNC	18.12469178	1.017032298
0.521944598	RANBP2	3.726859298	-0.207235819
0.013382181	RGPD5	24.85955098	1.629618611
0.21376131	RGPD4	8.613889879	2.87109105
0.010665872	RGPD2	26.24500517	4.513559589
0.000496518	LRP1	47.66645195	3.254712278
0.006187665	MYH9	29.81926808	1.416533687
0.523010358	MYH10	3.717437756	0.315051455
0.634421336	MYH10	2.665349656	1.291173842
0.011903011	MYH14	25.57951003	1.189962492
0.039659839	MYH4	18.21747288	0.904282625
0.213520604	MYH3	8.622393106	1.525843667
0.11947978	MYH1	11.85727697	2.455783613
0.014267555	MYH2	24.4285964	8.485110548
0.002438384	MYH6	36.05147272	2.194508418
0.031093132	DSP	19.6574115	-0.800487178
0.000681089	FASN	45.27613168	-2.751047471
0.217510469	UBR4	8.510203514	-0.387832485
0.000140942	APOB	62.42219228	-11.35923375
0.447083156	RNF213	4.566265861	0.254562116
0.011748372	GCN1	25.65465785	-1.14005336
0.245932633	HUWE1	7.835750128	0.346823846
0.09064594	UTRN	13.44603437	-0.626204335
0.212467786	DMD	8.648075661	-1.824461331
0.117253963	DMD	11.96812903	-2.936547682
0.647239019	PRPF8	2.555402587	-0.154932352
0.039974786	GOLGA4	18.16051453	-1.048556847
0.021766881	GOLGA4	21.79286468	-1.889703624
0.037199253	SNRNP200	18.59766216	-0.818161123
0.001236996	SNRNP200	40.83645383	-3.465073496
0.049583736	CLTC	16.91440874	0.827832047
0.6590237	CLTC	2.450762277	3.006842961
0.038665352	CLTCL1	18.37281015	1.747339839
0.044982991	TPR	17.48116898	0.817337879
0.04292635	NUMA1	17.74628036	0.810815606
0.627859284	EIF3A	2.720701129	-0.151417744
0.513842998	VPS13C	3.806619285	-0.200519961
0.009194678	PRRC2C	27.24273588	-1.276477563
0.000410135	PRRC2C	49.19708765	-5.632582036
0.506472917	PRRC2A	3.884227952	-0.227207801
0.010254788	PRRC2B	26.53918967	-1.76371912
0.000553438	MKI67	46.73001368	-4.230807072
0.123208222	MKI67	11.68709121	-1.350582659
0.027351709	TRRAP	20.41338583	-1.007035394
0.067506736	TRRAP	15.13594652	3.09897392
0.001780435	HECTD1	38.31841249	-2.045231256
0.298177526	HECTD1	6.762768876	-1.319456051
0.337501981	IQGAP1	6.084612753	0.303898379
0.80267348	IQGAP2	1.321178561	0.081527671
0.008205919	IQGAP3	27.99728921	-1.593268012
0.039308855	AFDN	18.27240531	0.842611968
0.013920027	AFDN	24.58962262	2.554723468
0.603188488	AFDN	2.936171656	1.212234788
0.643017308	CHD4	2.592406214	0.168370519
0.049892355	CHD3	16.88177891	0.962409173
0.095149346	IGF2R	13.16244735	-0.574028504
0.022356179	BOD1L1	21.63649493	1.078346634
0.000410135	BOD1	49.13001104	-5.562259567
0.001891983	LRPPRC	37.83993487	-1.901888949
0.216683561	HTT	8.534783196	0.418100788
0.318534748	MYO18A	6.389174785	-0.338102901
0.073234175	RRBP1	14.67149771	-0.692565063
0.000321265	RRBP1	51.31431973	-4.421384377
0.208499501	RRBP1	8.749885098	1.01186519
0.006387877	NIN	29.62843937	-7.043055887
0.092144198	AKAP13	13.35346763	0.581759186
0.311262474	EPRS	6.518568435	-0.320515172
0.016319635	ASCC3	23.56479618	-1.027000023
0.014163061	CKAP5	24.4712536	-1.351043192
0.181129434	SMCHD1	9.527627222	-0.450836935
0.052473061	EEA1	16.57834544	0.731390194
0.016450562	TP53BP1	23.52435413	1.243393923
0.023889487	TOP2B	21.21969881	1.035529544
0.000151076	TOP2A	59.45439994	-5.965175017
0.050060979	ACACA	16.86338504	-0.909102289
0.011432088	USP9X	25.85590453	1.502929904
0.827955326	USP9Y	1.146664468	0.350287484
0.166893916	SYNE2	9.967579813	0.544111484
0.023529274	SYNE1	21.30565932	1.271671399
0.0027506	SYNE1	35.22328951	-6.54227752
0.712782511	DIDO1	1.990916744	-0.139935122
0.681075367	PHF3	2.258888789	-0.123370634
0.004435769	FN1	32.01003455	-1.622031391
0.693616582	USP24	2.154404716	-0.132441809
0.090085282	VCP	13.48238416	0.714908687
0.459032016	AFG3L2	4.421609413	-0.255211534
0.010311219	PEX1	26.49409583	-1.621157467
0.742142734	NVL	1.769595458	-0.109609768
0.144053852	PEX6	10.8082203	0.647018537
0.062398621	C3	15.61013495	0.683020253
0.019213509	KIAA0368	22.5522791	-0.98370749
0.015687001	ACTN4	23.85437692	1.020862139
0.049031719	ACTN1	16.98356406	2.081979442
0.22759199	ACTN1	8.265302147	2.180436685
0.004111583	ACTN2	32.60974728	6.510949632
0.538548059	ACTN3	3.557536823	0.357056097
0.055484726	GBF1	16.26495842	-0.707272762
0.060461274	CNOT1	15.78064832	-0.686821963
0.674897925	POLR2A	2.315384105	-0.145430222
0.033540697	UGGT1	19.21415639	-0.847289945
0.076418782	UGGT2	14.4317756	-0.742678824
0.009478783	KTN1	27.04083751	1.576394995
0.220798616	CHD8	8.431319913	-0.388597272
0.26649025	CHD7	7.393599542	-0.453684592
0.275293621	CHD6	7.213601525	0.440015081
0.215221309	CHD9	8.575916309	-0.910084602
0.509270179	TRIP11	3.855035738	0.259513668
0.28611193	COPA	6.984544914	-0.386060442
0.144128805	MAP4	10.8046179	0.461796579
0.892347661	MAP4	0.690650399	0.075099531
0.031991352	MAP4	19.48395702	-3.881478549
0.02084471	YLPM1	22.06199432	0.979041967
0.002570532	EIF4G1	35.72821536	-2.025435435
0.084406148	EIF4G1	13.87045259	3.480690868
0.075546268	EIF4G1	14.4933665	3.988492444
0.950662559	EIF4G3	0.306148206	0.075447842
0.307919648	EIF4G3	6.580082058	-1.778556183
0.092458784	NASP	13.33230389	0.587392281
0.052288876	NASP	16.59778042	1.041458748
0.050943757	MIA3	16.75932253	-0.78182452
0.050137625	SMC1A	16.85203711	-0.69173375
0.062930229	DNAJC13	15.55066726	-0.682251448
0.708566584	LAMA5	2.025224036	0.168372457
0.842547387	LAMA3	1.037112464	-0.2277189
0.005026164	KIF13B	31.15175053	1.77166478
0.079296177	KIF1Bbeta	14.21903713	0.71839509
0.051525403	KIF1C	16.68949302	0.872985243
0.949729069	KIF16B	0.311970351	-0.08832653
0.308473129	KIF16B	6.567945696	-1.89943438
0.015693067	KIF1B	23.84958303	-1.751903481
0.524109854	KIF13A	3.705935226	-1.009655545
0.13982366	KIF13A	10.96732098	-4.352117726
0.400889102	STARD9	5.15280779	0.820783474
0.015411043	NES	23.95512331	1.203134916
0.874832251	VCL	0.806410428	0.051182155
0.953411641	NCOR1	0.286278623	0.019598596
0.001695718	NCOR2	38.71660011	2.861566996
0.627271541	NUP214	2.726269534	-0.149397592
0.937113625	NUP214	0.40019873	-0.127710289
0.003373584	GCC2	33.88924099	1.615944083
0.073705836	ARHGAP5	14.63662823	-0.63366553
0.383274247	SPEN	5.396004861	0.327016575
0.934446105	SEC16A	0.415364267	-0.028568619
0.60429736	SEC16A	2.927095358	1.328640188
0.867079133	SEC16A	0.858299783	0.339632506
0.000288039	A2M	52.97359853	-8.046456577
0.323160668	PZP	6.311013923	-2.370105458
0.001901317	SUPT6H	37.77865753	-2.178383736
0.009109413	ASDURF	27.30399974	-1.854669383
0.181982164	TNKS1BP1	9.501572345	0.48970293
0.61475662	NIPBL	2.835800566	0.182393033
0.482110456	NIPBL	4.158687961	-1.032503491
0.512688152	ARFGEF2	3.820241382	0.221058859
0.002296506	ARFGEF1	36.48245457	2.039261404
0.006456585	PCM1	29.54355221	-1.485745198
0.41157221	PCM1	5.006680508	-1.754509889
0.007059395	MYO6	28.96026954	1.469897486
0.596171455	MYO6	2.997563259	0.459100509
0.003374869	EEF2	33.88430647	-1.866191656
0.103832738	EFTUD2	12.67058943	0.531851804
0.031581947	CAD	19.56415634	-0.922330535
0.200775283	MDC1	8.958549279	-0.412937428
0.016601531	MYO9B	23.46037408	1.283738445
0.000799897	RIF1	44.04156112	-3.661255861
0.104724643	SMC3	12.62516575	-0.643648527
0.000913181	CENPF	42.96267197	-3.914987651
0.745417421	SF3B1	1.745295567	0.112736921
0.101862154	PARP1	12.77502255	-0.60010691
0.000772499	LRP2	44.33727476	-2.78130582
0.141085724	NUP205	10.92153856	-0.515135729
0.591354145	KMT2D	3.044320168	-0.18336053
0.1969432	KMT2C	9.070158731	0.552160156
0.000410135	DNMT1	49.19119107	-3.919898506
0.033540697	DNMT1	19.21604642	-3.587758876
0.578456685	ATM	3.165079614	0.172923976
0.036712823	MYCBP2	18.66735718	-0.79323736
