gs_name	n	p.value	odds	padj	seed_gene
GO_RESPONSE_TO_VIRUS	72	0.000648200796223846	23.78837856769	0.00648200796223846	A1CF
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	150	1.3067262072096e-17	8.61638865782051	7.38300307073426e-15	ACTR2
GO_MYELOID_LEUKOCYTE_ACTIVATION	166	4.76114405140506e-17	7.88679855084749	2.68528524499245e-14	ACTR2
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	187	2.48828809322861e-15	6.75970233139869	1.40090619648771e-12	ACTR2
GO_IMMUNE_EFFECTOR_PROCESS	290	3.36229627548805e-14	5.13169539502025	1.88961050682428e-11	ACTR2
GO_LEUKOCYTE_MEDIATED_IMMUNITY	196	7.2042523575891e-14	6.09402852514795	4.04158557260748e-11	ACTR2
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	119	1.31472166046676e-16	18.9626849605819	4.31228704633099e-14	ANXA1
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY_COUPLED_TO_CYCLIC_NUCLEOTIDE_SECOND_MESSENGER	26	1.79934034034061e-06	21.2617710741656	0.000588384291291381	ANXA1
GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	8	3.30516227361871e-06	68.2755017865967	0.0010774829011997	ANXA1
GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS	84	3.71810943609292e-06	8.90096262811216	0.0012083855667302	ANXA1
GO_HISTONE_H2A_ACETYLATION	4	3.1022795478894e-10	Inf	6.82501500535669e-09	CFL1
GO_HISTONE_H4_ACETYLATION	22	2.15531392946152e-06	61.0870705249885	4.52615925186918e-05	CFL1
GO_CHROMATIN_ORGANIZATION	239	5.08040642210835e-05	10.0630311128061	0.00101608128442167	CFL1
GO_PEPTIDYL_LYSINE_ACETYLATION	54	8.50046790940504e-05	21.9434424285697	0.00161508890278696	CFL1
GO_HISTONE_EXCHANGE	20	8.8039181348259e-05	45.38783606978	0.00161508890278696	CFL1
GO_CYTOPLASMIC_TRANSLATION	40	0.000330576105744378	28.3862668305702	0.00595036990339881	CNBP
GO_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	5	2.50510004548356e-10	1799.65866686801	1.75357003183849e-09	DDX1
GO_TRNA_PROCESSING	37	3.14002185684073e-06	58.1341737606823	1.88401311410444e-05	DDX1
GO_TRNA_METABOLIC_PROCESS	48	9.08536000102767e-06	43.6684384165466	4.54268000051383e-05	DDX1
GO_RNA_SPLICING	114	0.000279385938036356	17.2359692317136	0.00111754375214542	DDX1
GO_NCRNA_PROCESSING	141	0.000631570511343609	13.7469310548006	0.00189471153403083	DDX1
GO_TRANSLATIONAL_INITIATION	72	6.40016833055734e-08	19.871051287373	1.79204713255606e-06	DDX3X
GO_CYTOPLASMIC_TRANSLATIONAL_INITIATION	14	3.44610452844827e-06	54.9781566293673	9.30448222681034e-05	DDX3X
GO_CYTOPLASMIC_TRANSLATION	40	0.000271101631022457	15.2578790753776	0.00704864240658389	DDX3X
GO_PEPTIDE_BIOSYNTHETIC_PROCESS	227	0.000347343247748023	5.5854765447213	0.00868358119370058	DDX3X
GO_TRANSLATIONAL_INITIATION	72	4.6379284092903e-53	81.0839389341081	5.84378979570578e-51	EIF3E
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	37	1.83517113994898e-38	146.208016980293	2.29396392493623e-36	EIF3E
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	42	1.14593625932003e-37	102.2094951335	1.42096096155683e-35	EIF3E
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	40	1.02438648946969e-36	106.589648363029	1.25999538204772e-34	EIF3E
GO_PEPTIDE_BIOSYNTHETIC_PROCESS	227	2.85043733819512e-35	15.9780347928637	3.47753355259804e-33	EIF3E
GO_TRANSLATIONAL_INITIATION	72	5.76709385533613e-55	82.843324398394	1.0380768939605e-52	EIF4B
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	42	1.69814000567688e-38	104.754614604422	3.03967061016161e-36	EIF4B
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	37	2.378579540105e-37	131.898693693922	4.2338715813869e-35	EIF4B
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	40	1.31760413633891e-35	95.9934659515066	2.33215932131987e-33	EIF4B
GO_PEPTIDE_BIOSYNTHETIC_PROCESS	227	2.73582445728277e-34	14.4541178122996	4.81505104481768e-32	EIF4B
GO_TRANSLATIONAL_INITIATION	72	1.69250239504589e-54	95.2288611564723	1.70942741899635e-52	EIF4H
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	37	1.75333181157052e-40	178.424466297935	1.75333181157052e-38	EIF4H
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	42	9.21384662268873e-40	124.198763958082	9.12170815646185e-38	EIF4H
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	40	9.90709269059364e-39	129.285255828812	9.70895083678176e-37	EIF4H
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	46	6.676122960584e-36	83.5719039088236	6.47583927176648e-34	EIF4H
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	37	1.61669437445403e-30	127.737602293492	1.05085134339512e-28	EIF5A
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	40	1.60149745405662e-29	107.992442770842	1.02495837059624e-27	EIF5A
