id	adj.P.Val.SCoV.over.Mock	geneSymbol	logFC.SCoV.over.Mock	P.Value.SCoV.over.Mock	species
NP_000436.2	0.004640444	PLEC	1.450660027	0.000720684	HOMO SAPIENS
NP_958781.1	0.268922859	PLEC	0.768823131	0.185688337	HOMO SAPIENS
NP_112598.3	0.000362793	EPPK1	4.040888383	1.10E-05	HOMO SAPIENS
NP_001367.2	0.936508934	DYNC1H1	-0.026752849	0.909656167	HOMO SAPIENS
NP_001333374.1	0.012924886	AHNAK	1.183640598	0.003181977	HOMO SAPIENS
NP_001123910.1	0.529362768	SPTAN1	0.189925261	0.433211626	HOMO SAPIENS
NP_003118.2	0.317344294	SPTAN1	-0.770609529	0.229868959	HOMO SAPIENS
NP_001350688.1	0.029930252	SPTAN1	1.79558006	0.010468485	HOMO SAPIENS
NP_001350694.1	0.001698872	SPTAN1	2.804051956	0.00014805	HOMO SAPIENS
NP_008835.5	0.626583501	PRKDC	0.159580526	0.535249634	HOMO SAPIENS
NP_036222.3	0.083546428	MACF1	0.75743076	0.040980148	HOMO SAPIENS
NP_001138241.1	0.006946073	DST	1.715620666	0.001302864	HOMO SAPIENS
NP_001714.1	0.907615057	DST	-0.175932426	0.871993072	HOMO SAPIENS
NP_004478.3	0.082436668	GOLGB1	0.613377962	0.040251756	HOMO SAPIENS
NP_001243415.1	0.055803338	GOLGB1	2.238982128	0.024107083	HOMO SAPIENS
NP_001243417.1	0.929135942	GOLGB1	-0.127950088	0.900132246	HOMO SAPIENS
NP_003119.2	0.928070174	SPTBN1	0.030683197	0.898506784	HOMO SAPIENS
NP_842565.2	0.197156983	SPTBN1	1.256430869	0.125369152	HOMO SAPIENS
NP_008877.1	0.001698395	SPTBN2	2.07312785	0.000147734	HOMO SAPIENS
NP_001020029.1	0.349840233	SPTB	0.773756696	0.25880386	HOMO SAPIENS
NP_066022.2	0.037043191	SPTBN4	-1.051284693	0.013997701	HOMO SAPIENS
NP_006280.3	0.38914723	TLN1	0.275430358	0.296087195	HOMO SAPIENS
NP_055874.2	0.218380834	TLN2	0.384816749	0.142856466	HOMO SAPIENS
NP_005742.4	0.026962824	AKAP9	1.074951032	0.00909097	HOMO SAPIENS
NP_055426.1	0.003196982	MDN1	-1.7084874	0.000402103	HOMO SAPIENS
NP_001157789.1	0.018559584	FLNB	0.967539957	0.005427611	HOMO SAPIENS
NP_001104026.1	0.034202006	FLNA	0.830592616	0.01250265	HOMO SAPIENS
NP_001120959.1	0.037310768	FLNC	1.050187813	0.014170327	HOMO SAPIENS
